C.D.S.  -  SIMBAD4 rel 1.8  -  2023.04.08CEST13:52:47

Vmag <= 6.5
-----------

Number of objects : 9071

 #  ;                              identifier                              ;typ;       coord1 (ICRS,J2000/2000)        ;        coord2 (FK5,J2000/2000)        ;        coord3 (FK4,B1950/1950)        ;      coord4 (Gal,J2000/2000)      ;         pm         ;   plx    ;     rv/z     ;   radvel   ;  redshift  ;     cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib ;#not
1567;HIP 106978                         HD 205877                          ;** ;21 39 59.7177377376 -52 21 32.401184724;21 39 59.7183065415 -52 21 32.382316043;21 36 35.5945912521 -52 35 09.561382947;344.0983587728267 -46.5307305445100;  -16.368 5.374     ;5.7726    ;v     0.00    ;0.00        ;0.000000    ;0.00        ;     ~   ;6.784    ;6.202    ;     ~   ;     ~   ;G8/K0III+A/F         ;  23 ;   0
1568;HIP 1499                           HD 1461                            ;PM*;00 18 41.8676757921 -08 03 10.803829898;00 18 41.8690083857 -08 03 10.796381900;00 16 07.4292334914 -08 19 43.052865060;099.3026606874168 -69.4088171332426;417.579 -143.900    ;42.7308   ;v   -10.137   ;-10.137     ;-0.000034   ;-10.14      ;     ~   ;7.14     ;6.46     ;     ~   ;     ~   ;G3VFe0.5             ; 358 ;   1
1569;HIP 74824                          * bet Cir                          ;PM*;15 17 30.8501567 -58 48 04.337319      ;15 17 30.8538700 -58 48 04.328139      ;15 13 34.8716479 -58 36 58.384131      ;320.8899962900 -01.1192246859      ; -97.74 -134.15     ;32.73     ;v     9.6     ;9.6         ;0.000032    ;9.60        ;     ~   ;4.153    ;4.057    ;     ~   ;     ~   ;A3Va                 ; 122 ;   0
1570;* 1 Del A                                                             ;*  ;20 30 17.9619129096 +10 53 45.337136515;20 30 17.9635027495 +10 53 45.358457563;20 27 54.2710567709 +10 43 38.115032646;054.6578424094011 -16.2132080423458;   19.053 4.510     ;5.0010    ;~            ~;~           ;~           ;~           ;     ~   ;6.16     ;6.20     ;     ~   ;     ~   ;~                    ;   3 ;   0
1571;HIP 87404                          HD 162123                          ;*  ;17 51 44.5594693464 -45 36 02.547735660;17 51 44.5616639351 -45 36 02.528176371;17 48 02.5679545149 -45 35 17.877074563;346.2068366110214 -09.5221749620263;  10.339 -8.499     ;4.8779    ;v    -6.85    ;-6.85       ;-0.000023   ;-6.85       ;     ~   ;7.051    ;6.087    ;     ~   ;     ~   ;G6III                ;  17 ;   0
1572;HIP 36251                          BD-11 1951                         ;** ;07 27 51.66072 -11 33 24.7075          ;07 27 51.66223 -11 33 24.7294          ;07 25 30.57519 -11 27 14.6115          ;227.36634422 +02.67324021          ;    -3.28 -0.32     ;2.06      ;v    17.70    ;17.70       ;0.000059    ;17.70       ;     ~   ;6.406    ;5.868    ;     ~   ;     ~   ;F8III+B3V            ;  60 ;   1
1573;HIP 17296                          V* BD Cam                          ;Sy*;03 42 09.3255143544 +63 13 00.468590376;03 42 09.3295191737 +63 13 00.457331830;03 37 47.6859690511 +63 03 24.699276847;140.8352966398552 +06.4441648018479; -17.877 20.052     ;4.2671    ;v   -22.28    ;-22.28      ;-0.000074   ;-22.28      ;8.56     ;6.74     ;5.11     ;3.49     ;2.11     ;S3.5/2               ; 206 ;   0
1574;HIP 39567                          * 8 Cnc                            ;PM*;08 05 04.4890325328 +13 07 05.579445540;08 05 04.4905195670 +13 07 05.557712789;08 02 17.4361670002 +13 15 43.670771323;209.1088637963227 +22.1613296535906;-34.708 -62.992     ;15.8101   ;v    21.00    ;21.00       ;0.000070    ;21.00       ;     ~   ;5.141    ;5.136    ;     ~   ;     ~   ;A1V                  ;  58 ;   0
1575;HIP 102633                         * 13 Del                           ;*  ;20 47 48.3330034128 +06 00 29.551200156;20 47 48.3345759356 +06 00 29.572083378;20 45 19.7007272053 +05 49 24.244873449;052.7767898453421 -22.4959193456182;  8.255 -13.162     ;6.9265    ;v    -7.00    ;-7.00       ;-0.000023   ;-7.00       ;     ~   ;5.62     ;5.64     ;     ~   ;     ~   ;A0V                  ;  43 ;   0
1576;HIP 28675                          HD 41312                           ;** ;06 03 15.6036671424 -26 17 04.354069992;06 03 15.6049035299 -26 17 04.374097420;06 01 14.6254768455 -26 16 58.869339276;232.3322959078349 -21.6191724551120;  65.321 85.599     ;7.7812    ;v   182.59    ;182.59      ;0.000609    ;182.65      ;7.82     ;6.38     ;5.04     ;     ~   ;     ~   ;K2.5IIIFe-2          ;  69 ;   0
1577;HIP 81847                          HD 150421                          ;*  ;16 43 03.5657842992 -46 04 13.056960720;16 43 03.5683592812 -46 04 13.041169603;16 39 24.5818645760 -45 58 35.029155494;338.9292111682951 -00.0190103042679;  -0.134 -3.790     ;1.0426    ;v   -14.92    ;-14.92      ;-0.000050   ;-14.92      ;     ~   ;7.04     ;6.27     ;     ~   ;     ~   ;F6II                 ;  38 ;   0
1578;HIP 100108                         * 36 Cyg                           ;*  ;20 18 28.6552175232 +36 59 59.295169896;20 18 28.6569359352 +36 59 59.316716396;20 16 36.1356463095 +36 50 32.299615407;075.0490718745686 +00.6255873585248;  40.228 20.979     ;16.7248   ;v    -8.00    ;-8.00       ;-0.000027   ;-8.00       ;5.64     ;5.64     ;5.58     ;     ~   ;5.51     ;A2V                  ;  75 ;   0
1579;HIP 145                            * 29 Psc                           ;V* ;00 01 49.4481127032 -03 01 39.011820024;00 01 49.4495689505 -03 01 39.002878703;23 59 15.6335328007 -03 18 20.792531017;094.5931674455525 -63.1364210951315; 17.905 -10.329     ;7.5845    ;v    23.00    ;23.00       ;0.000077    ;23.00       ;4.47     ;4.98     ;5.10     ;     ~   ;     ~   ;B7III-IV             ; 219 ;   0
1580;HIP 26463                          HD 37138                           ;*  ;05 37 45.8058248712 +33 33 33.003248112;05 37 45.8078373459 +33 33 32.984323251;05 34 27.9537572230 +33 31 48.489124444;175.1877599903764 +01.0164789778864;   14.887 5.189     ;5.2972    ;v    28.68    ;28.68       ;0.000096    ;28.68       ;     ~   ;7.649    ;6.355    ;     ~   ;     ~   ;K0                   ;  17 ;   0
1581;* f Eri B                                                             ;PM*;03 48 35.4776869320 -37 37 19.212410172;03 48 35.4782661381 -37 37 19.224191117;03 46 44.7383190533 -37 46 26.082603580;240.1745398617453 -51.5324965895662;  63.372 -8.121     ;18.7976   ;v    15.9     ;15.9        ;0.000053    ;15.90       ;     ~   ;5.26     ;5.25     ;     ~   ;     ~   ;A1Va                 ;  34 ;   0
1582;HIP 40834                          * kap02 Vol                        ;EB*;08 20 00.5275254216 -71 30 19.361671236;08 20 00.5298414902 -71 30 19.383191755;08 20 09.8582323185 -71 20 45.790277496;284.8243527135288 -19.0276180917296; -17.544 34.555     ;7.9037    ;v    -6.50    ;-6.50       ;-0.000022   ;-6.50       ;     ~   ;5.496    ;5.608    ;     ~   ;     ~   ;B9/A0IV              ;  71 ;   0
1583;HIP 24169                          V* RX Lep                          ;AB*;05 11 22.8716317615 -11 50 56.713575585;05 11 22.8729753943 -11 50 56.731113458;05 09 02.7521542737 -11 54 35.690582741;212.5471832955677 -27.5120581283067;  31.527 57.631     ;6.0777    ;v    46.1     ;46.1        ;0.000154    ;46.10       ;8.37     ;7.14     ;5.68     ;     ~   ;     ~   ;M6III                ; 100 ;   0
1584;HIP 3786                           * del Psc                          ;PM*;00 48 40.94433 +07 35 06.2926          ;00 48 40.94605 +07 35 06.2973          ;00 46 05.11280 +07 18 47.8735          ;121.73296686 -55.28025147          ;   83.10 -49.58     ;10.48     ;v    32.45    ;32.45       ;0.000108    ;32.45       ;7.83     ;5.95     ;4.44     ;3.27     ;2.40     ;K5-III               ; 185 ;   0
1585;HIP 113283                         V* TW PsA                          ;BY*;22 56 24.0525564918 -31 33 56.030584767;22 56 24.0534013783 -31 33 56.016381198;22 53 37.4424386374 -31 49 50.492549987;015.9370290552806 -64.6172876361648;330.203 -158.602    ;131.5525  ;v     7.153   ;7.153       ;0.000024    ;7.15        ;     ~   ;7.58     ;6.48     ;     ~   ;     ~   ;K4Ve                 ; 288 ;   0
1586;HIP 27317                          HD 39110                           ;*  ;05 47 13.3299505824 -54 21 38.593872144;05 47 13.3305292944 -54 21 38.613234126;05 46 12.6519007752 -54 22 36.709152000;262.1800748071775 -30.9298037541958;   3.836 -1.020     ;2.9752    ;v    -3.40    ;-3.40       ;-0.000011   ;-3.40       ;     ~   ;7.593    ;6.171    ;     ~   ;     ~   ;K3III                ;  12 ;   0
1587;HIP 42549                          HD 73710                           ;*  ;08 40 22.0864518288 +19 40 11.771283936;08 40 22.0878389826 +19 40 11.750199661;08 37 30.0188788753 +19 50 53.030593066;205.9128310111147 +32.4783729680914;-36.237 -13.881     ;5.4106    ;v    34.43    ;34.43       ;0.000115    ;34.43       ;8.290    ;7.410    ;6.390    ;5.70     ;5.21     ;G9III-IIIb           ; 172 ;   0
1588;HIP 63972                          HD 113778                          ;V* ;13 06 35.0821484352 -41 35 18.397334724;13 06 35.0849573831 -41 35 18.400352792;13 03 44.5702110326 -41 19 15.428964483;305.9687897532047 +21.1939725429834; 43.923 -14.920     ;9.67      ;v     2.88    ;2.88        ;0.000010    ;2.88        ;     ~   ;6.641    ;5.588    ;     ~   ;     ~   ;K0II/III             ;  26 ;   0
1589;HIP 21452                          HD 28780                           ;*  ;04 36 24.1980155472 +64 15 41.760866448;04 36 24.2016994899 +64 15 41.745521867;04 31 42.0050774189 +64 09 35.189114501;144.5352969987449 +11.3016112769799; -25.398 -8.119     ;6.6785    ;v   -22.60    ;-22.60      ;-0.000075   ;-22.60      ;5.850    ;5.880    ;5.910    ;     ~   ;     ~   ;A1V                  ;  47 ;   0
1590;HIP 114831                         V* V388 Cep                        ;dS*;23 15 37.7393154216 +70 53 17.094451632;23 15 37.7442623237 +70 53 17.107210330;23 13 41.3883053935 +70 36 54.762546724;115.1872440468857 +09.4710419004595;  17.670 -1.575     ;8.7121    ;v    -5.00    ;-5.00       ;-0.000017   ;-5.00       ;5.920    ;5.800    ;5.550    ;     ~   ;     ~   ;F0IV                 ;  42 ;   0
1591;HIP 103532                         HD 199892                          ;SB*;20 58 30.9539504088 +41 56 23.731780380;20 58 30.9559265572 +41 56 23.752335498;20 56 39.8660404892 +41 44 42.627671915;083.6597333124975 -02.5100885557707;   11.884 0.228     ;6.0229    ;v   -21.70    ;-21.70      ;-0.000072   ;-21.70      ;     ~   ;6.076    ;6.156    ;     ~   ;     ~   ;B9III:               ;  47 ;   0
1592;HIP 67787                          * 7 Boo                            ;*  ;13 53 12.9300854664 +17 55 58.327270932;13 53 12.9311410301 +17 55 58.328694422;13 50 49.5129131117 +18 10 42.841323226;003.2970492369687 +73.0525326984462;  -34.605 5.163     ;5.3058    ;v   -11.00    ;-11.00      ;-0.000037   ;-11.00      ;     ~   ;6.551    ;5.709    ;     ~   ;     ~   ;G5III                ;  67 ;   0
1593;HIP 60066                          V* FM Com                          ;dS*;12 19 02.0250151224 +26 00 30.060577116;12 19 02.0258721675 +26 00 30.053159287;12 16 30.8548562438 +26 17 09.559696686;219.8895187174371 +82.6697722750656; -12.133 -8.680     ;11.6932   ;v    -0.30    ;-0.30       ;-0.000001   ;-0.30       ;     ~   ;6.605    ;6.433    ;     ~   ;     ~   ;A6:IV-Vmv            ; 154 ;   0
1594;HIP 33104                          * 43 Cam                           ;*  ;06 53 42.2482692144 +68 53 17.919625020;06 53 42.2505263816 +68 53 17.898155949;06 48 19.4513106224 +68 56 58.755694414;146.4244679097397 +25.3754458962013;    4.870 7.705     ;3.5172    ;v   -21.00    ;-21.00      ;-0.000070   ;-21.00      ;4.54     ;4.975    ;5.096    ;     ~   ;     ~   ;B7III                ;  60 ;   0
1595;HIP 6261                           HD 7732                            ;PM*;01 20 19.3980702384 +77 34 14.468264616;01 20 19.4061954047 +77 34 14.469978839;01 16 05.6076868763 +77 18 25.770304605;124.5354222652116 +14.7889596606423; -19.702 91.056     ;7.611     ;v   -73.686600;-73.686600  ;-0.000246   ;-73.68      ;     ~   ;7.230    ;6.318    ;     ~   ;     ~   ;G5III                ;  25 ;   0
1596;HIP 88012                          HD 163685                          ;*  ;17 58 39.0498560448 -28 45 32.710460868;17 58 39.0517199457 -28 45 32.690614782;17 55 28.6031728891 -28 45 19.571230453;001.6064098752707 -02.3651555018458;  -0.712 -5.422     ;2.8471    ;v    -9.00    ;-9.00       ;-0.000030   ;-9.00       ;5.35     ;5.93     ;6.01     ;     ~   ;     ~   ;B3II/III             ;  57 ;   0
1597;HIP 35152                          * 53 Gem                           ;V* ;07 15 57.1671252720 +27 53 50.715517704;07 15 57.1687271120 +27 53 50.693739652;07 12 49.8906731534 +27 59 10.397359831;189.9103259045000 +17.2970259051260; -12.384 -1.967     ;4.0783    ;v    25.11    ;25.11       ;0.000084    ;25.11       ;9.34     ;7.34     ;5.71     ;     ~   ;     ~   ;M1III                ;  37 ;   0
1598;HIP 110408                         HD 212222                          ;Pu*;22 21 50.8743229968 +42 04 41.382420564;22 21 50.8767118239 +42 04 41.398963114;22 19 42.2365328746 +41 49 31.895414703;095.4140264719823 -12.6629201252523;  13.390 -2.402     ;4.6405    ;v   -23.80    ;-23.80      ;-0.000079   ;-23.80      ;     ~   ;6.279    ;6.369    ;     ~   ;     ~   ;B5V                  ;  49 ;   0
1599;HIP 12964                          HD 17390                           ;PM*;02 46 45.1042039656 -21 38 22.278982308;02 46 45.1051775153 -21 38 22.285421583;02 44 28.7111419376 -21 50 55.032641397;207.4364613726563 -63.2386802162119;  75.459 16.803     ;20.7204   ;v     7.2     ;7.2         ;0.000024    ;7.20        ;     ~   ;6.850    ;6.469    ;     ~   ;     ~   ;F3IV/V               ;  56 ;   0
1600;HIP 24003                          HD 32518                           ;PM*;05 09 36.7203662520 +69 38 21.854780160;05 09 36.7242679255 +69 38 21.837343825;05 04 07.5000818851 +69 34 34.776794214;142.1227616211470 +17.1214837266231; 61.031 -62.382     ;8.2192    ;v    -6.579310;-6.579310   ;-0.000022   ;-6.58       ;8.550    ;7.530    ;6.420    ;     ~   ;     ~   ;K1III                ;  52 ;   1
1601;HIP 39067                          HD 65522                           ;*  ;07 59 35.0554884768 +13 14 31.798863636;07 59 35.0569833017 +13 14 31.777076013;07 56 47.6342700042 +13 22 46.761641770;208.3966305975569 +20.9938982691279;-19.917 -15.548     ;9.3205    ;v    27.52    ;27.52       ;0.000092    ;27.52       ;     ~   ;7.42     ;6.07     ;     ~   ;     ~   ;K2                   ;  23 ;   0
1602;HIP 34975                          HD 55775                           ;*  ;07 14 10.8500851992 -03 54 06.401226168;07 14 10.8516014160 -03 54 06.422987102;07 11 41.5107501124 -03 48 52.439044905;219.0053291866654 +03.2642146312304; -35.079 -7.952     ;3.7036    ;v    23.14    ;23.14       ;0.000077    ;23.14       ;     ~   ;7.55     ;5.94     ;     ~   ;     ~   ;K5III                ;  26 ;   0
1603;HIP 54540                          V* EP UMa                          ;a2*;11 09 39.7864853928 +67 12 36.756332280;11 09 39.7852449189 +67 12 36.743115189;11 06 30.8496881504 +67 28 54.449351828;137.0629175836193 +47.0280351571768;-87.078 -26.744     ;9.2341    ;v     4.7     ;4.7         ;0.000016    ;4.70        ;     ~   ;6.278    ;6.061    ;     ~   ;     ~   ;A7IVpSr              ;  84 ;   0
1604;HIP 46737                          HD 82858                           ;*  ;09 31 33.0223123248 -66 43 08.502222288;09 31 33.0254470446 -66 43 08.521486387;09 30 32.9332558545 -66 29 50.735738836;284.9677291278422 -11.1055983831069;  -18.296 7.040     ;4.4407    ;v     4.58    ;4.58        ;0.000015    ;4.58        ;     ~   ;7.605    ;6.255    ;     ~   ;     ~   ;K1III                ;  16 ;   0
1605;HIP 45305                          HD 79481                           ;*  ;09 14 03.0905478360 -14 41 41.431686216;09 14 03.0922297344 -14 41 41.451685856;09 11 40.9607603987 -14 29 13.249549639;244.4957725263198 +22.7132066233033; -6.062 -16.402     ;6.0585    ;v   -13.45    ;-13.45      ;-0.000045   ;-13.45      ;     ~   ;7.44     ;6.46     ;     ~   ;     ~   ;G6/8III/IV           ;  10 ;   0
1606;HIP 109474                         HD 210884                          ;PM*;22 10 38.7894437040 +70 07 57.268863804;22 10 38.7934606927 +70 07 57.286086389;22 09 30.3866809869 +69 53 07.083901170;110.0014913394539 +11.4095587043502; -65.841 25.104     ;30.6881   ;v    -0.259   ;-0.259      ;-0.000001   ;-0.26       ;     ~   ;5.88     ;5.52     ;     ~   ;     ~   ;F2V                  ;  48 ;   0
1607;* 47 Lib A                                                            ;*  ;15 55 00.366321 -19 22 58.50473        ;15 55 00.368272 -19 22 58.49244        ;15 52 06.686671 -19 14 12.43475        ;351.646251934 +25.658220603        ;     -9.9 -13.7     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;6.00     ;6.05     ;     ~   ;     ~   ;~                    ;   1 ;   0
1608;HD 169326                                                             ;*  ;18 27 04.2230805480 -53 06 36.752105880;18 27 04.2252015871 -53 06 36.731272170;18 23 01.8841082980 -53 08 26.607036924;341.7895173470525 -17.9385489299322;  -0.194 10.936     ;6.5997    ;v    30.13    ;30.13       ;0.000101    ;30.13       ;     ~   ;7.15     ;5.96     ;     ~   ;     ~   ;K2III                ;   4 ;   0
1609;HIP 22840                          HD 31331                           ;SB*;04 54 50.7090091656 +00 28 01.799133996;04 54 50.7105436144 +00 28 01.782585115;04 52 16.4892217491 +00 23 15.511826694;198.2177848281201 -25.4519698082667;   0.960 -5.185     ;3.2688    ;v    15.00    ;15.00       ;0.000050    ;15.00       ;     ~   ;5.858    ;5.965    ;     ~   ;     ~   ;B5/7II               ;  56 ;   0
